스킬ID,스킬,Target Scope,Target Tags
32788,[추천] 내 사주에 연애 상대 몇 명 있을까?_상대와 시기,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
48463,나만 몰랐던 호감시그널 : 붉은 실 인연🧶,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
26197,그 사람이 나에게 하고 싶은 말 (feat.편지카드),"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
21832,(추천할인) 놓치면 후회할 인연의 외모와 특징,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
43217,[2인 할인] 2025년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
40048,사주로 보는 인생 그래프: 일생풀이,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
23053,2023년 반드시 잡아야 할 대운은?,ALL,NEW_YEAR
42754,그 사람과 나의 재회 공식 3가지,LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
30680,그 운명의 러브 판타지,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
22792,사주오행 활용: 내가 갑이 되는 연애법,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
33654,절대로 결혼하면 안 되는 사람은?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
19309,2022년 솔로탈출시기(추천 할인),LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
50542,[창광] 25년 하반기: 사랑운과 인연운,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
29192,바람기 잡는 법: 그 사람 사주의 바람기,LOVE_COUPLE,"LOVE_CRISIS, LOVE_MATCH"
43612,[추가구매] 2025 을사년 운세: 사랑과 인연,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
19302,2022년 신년운세 보고서(추천 할인),ALL,"NEW_YEAR, OVERALL"
20317,"(추천할인) 다음 연애 언제, 어디서 시작될까?","LOVE_SINGLE, LOVE_COUPLE",LOVE_NEW
23883,선택 타로: 이 사람 계속 만나도 될까?,"LOVE_SINGLE, LOVE_COUPLE",
20054,반드시 잡아야 할 내 인생의 귀인은? (추천할인),"LOVE_SINGLE, LOVE_COUPLE",OVERALL
13663,어떤 사람과 사귈 운명일까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
2465,사주로 보는 내 전성기,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
18725,헤어진 연인과의 재회 확률,LOVE_SINGLE,LOVE_REUNION
18970,다음 달에 애인 생길까?,LOVE_SINGLE,LOVE_NEW
20248,(추천할인)내 인생 황금기와 암흑기: 사주팔자 풀이,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
2165,사주로 보는 재물운,ALL,WEALTH
1210,우리 얼마나 오래 갈까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
22525,부자되는 필승법 : 미래 재산 확인하기,ALL,WEALTH
26057,사주 작명과 길일: 우리 아이 어떤 이름이 좋을까?,"LOVE_SINGLE, LOVE_COUPLE",OVERALL
29193,내 사주 속 최고의 겉궁합 VS 속궁합 상대는?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
36439,"짝이 있는 그 사람, 나에게 올까?","LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
23882,(추천할인) 내 운명 지금 어디 있을까?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
30379,"내 사주의 천지인(天地人): 천운과 미래의 집, 그리고 인연","LOVE_SINGLE, LOVE_COUPLE",LOVE_GENERAL
55789,2026 신년운세 즉문즉답: 애정・재물・직업・대운,"LOVE_SINGLE, LOVE_COUPLE","CAREER, LOVE_MATCH, NEW_YEAR, WEALTH"
39553,"타고난 내 몸 살리는 ""사주 오행"" 다이어트 💪🏻","LOVE_SINGLE, LOVE_COUPLE",OVERALL
25845,[속마음] 💕현재 그의 진짜 속마음💕,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
30217,친구 VS 연인: 우리 둘 관계 어디까지?,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
36508,내 사주에 적힌 운명의 배우자,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MARRIAGE
2149,2022년 월별 운세,ALL,NEW_YEAR
56648,재회 궁합: 그 사람 반드시 돌아오게 하는 법,LOVE_SINGLE,"LOVE_MATCH, LOVE_REUNION"
50773,[창광] 25년 하반기: 직업운과 합격운,ALL,"CAREER, NEW_YEAR"
2503,그 사람이 보는 내 이미지,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
22955,(추천할인) 2023년 신년운세 보고서,ALL,"NEW_YEAR, OVERALL"
19221,궁합 완전정복 패키지,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
2417,사주로 보는 그 사람 연애 유형,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
36629,[본 스킬] 1개 구매자 추가 할인,"LOVE_SINGLE, LOVE_COUPLE",
19299,2022년 솔로탈출시기 + 내 운명의 상대,LOVE_SINGLE,"LOVE_NEW, NEW_YEAR"
56416,[창광] 26년 병오년 사랑운과 인연운,"LOVE_SINGLE, LOVE_COUPLE","LOVE_GENERAL, NEW_YEAR"
19206,그 사람 공략법: 속마음 + 3번의 유혹 기회,"LOVE_SINGLE, LOVE_COUPLE",LOVE_MATCH
17147,지원한 회사에 합격할 수 있을까?,"LOVE_SINGLE, LOVE_COUPLE",CAREER
25450,사주 일생 풀이: 시기별 길운과 복록,ALL,OVERALL
2425,이달의 합격운,"LOVE_SINGLE, LOVE_COUPLE",CAREER
